rank,app_id,app_name,developer,developer_link,category,category_link
80,com.alltrails.alltrails,"AllTrails: Hike, Bike & Run","AllTrails, LLC",/dev/AllTrails%2C+LLC/,Health & Fitness,/stats/google-play-rankings/top_grossing/health_fitness/us
81,com.hkfuliao.chamet,Chamet - Live Chat & Party,Chamet Team,/dev/Chamet+Team/,Social,/stats/google-play-rankings/top_grossing/social/us
82,com.ancestry.android.apps.ancestry,Ancestry: Family History & DNA,Ancestry.com,/dev/Ancestry.com/,Books & Reference,/stats/google-play-rankings/top_grossing/books_reference/us
83,com.finch.finch,Finch: Self-Care Pet,Finch Care Public Benefit Corporation,/dev/Finch+Care+Public+Benefit+Corporation/,Health & Fitness,/stats/google-play-rankings/top_grossing/health_fitness/us
84,com.soundcloud.android,SoundCloud: The Music You Love,SoundCloud,/dev/SoundCloud/,Music & Audio,/stats/google-play-rankings/top_grossing/music_audio/us
85,com.match.android.matchmobile,Match Dating App : Chat & Meet,"Match Group Americas, LLC",/dev/Match+Group+Americas%2C+LLC/,Dating,/stats/google-play-rankings/top_grossing/dating/us
86,com.viki.android,Viki: Asian Dramas & Movies,"Viki, Inc",/dev/Viki%2C+Inc/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
87,com.takimi.android,Taimi: LGBTQ+ Dating & Meet Up,Social Impact Inc.,/dev/Social+Impact+Inc./,Social,/stats/google-play-rankings/top_grossing/social/us
88,com.Beauchamp.Messenger.external,Chai: Chat AI Platform,Chai Research,/dev/Chai+Research/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
89,com.microsoft.office.officehubrow,Microsoft 365 Copilot,Microsoft Corporation,/dev/Microsoft+Corporation/,Productivity,/stats/google-play-rankings/top_grossing/productivity/us
90,com.calm.android,"Calm - Sleep, Meditate, Relax","Calm.com, Inc.",/dev/Calm.com%2C+Inc./,Health & Fitness,/stats/google-play-rankings/top_grossing/health_fitness/us
91,com.nytimes.android,NYTimes: US and Global News,The New York Times Company,/dev/The+New+York+Times+Company/,News & Magazines,/stats/google-play-rankings/top_grossing/news_magazines/us
92,ai.storage.cleaner.app,AI Cleaner - Phone Cleaner,"GRIMLAX TRADE, S.L.",/dev/GRIMLAX+TRADE%2C+S.L./,Tools,/stats/google-play-rankings/top_grossing/tools/us
93,com.amazon.mp3,Amazon Music: Songs & Podcasts,Amazon Mobile LLC,/dev/Amazon+Mobile+LLC/,Music & Audio,/stats/google-play-rankings/top_grossing/music_audio/us
94,com.aadhk.woinvoice,Invoice Simple: Invoice Maker,Invoice Simple,/dev/Invoice+Simple/,Business,/stats/google-play-rankings/top_grossing/business/us
95,com.sirius,"SiriusXM: Music, Sports & News",SiriusXM,/dev/SiriusXM/,Music & Audio,/stats/google-play-rankings/top_grossing/music_audio/us
96,ai.perplexity.app.android,Perplexity - Ask Anything,PerplexityAI,/dev/PerplexityAI/,Productivity,/stats/google-play-rankings/top_grossing/productivity/us
97,com.aspiro.tidal,TIDAL Music: HiFi sound,TIDAL,/dev/TIDAL/,Music & Audio,/stats/google-play-rankings/top_grossing/music_audio/us
98,com.intsig.camscanner,"CamScanner- scanner, PDF maker",INTSIG PTE,/dev/INTSIG+PTE/,Productivity,/stats/google-play-rankings/top_grossing/productivity/us
99,com.thezeusnetwork.www,Zeus,The Zeus Network,/dev/The+Zeus+Network/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
100,com.zyhwplatform.shortplay,FlickReels: Short Drama Series,FARSUNPTE.LTD.,/dev/FARSUNPTE.LTD./,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
